longitude,latitude,date,value
-57.047348,-11.364493,2002-01-01,0.5793
-57.047348,-11.364493,2002-01-17,0.642
-57.047348,-11.364493,2002-02-02,0.516
-57.047348,-11.364493,2002-02-18,0.5538
-57.047348,-11.364493,2002-03-06,0.6029
-57.047348,-11.364493,2002-03-22,0.4473
-57.047348,-11.364493,2002-04-07,0.5434
-57.047348,-11.364493,2002-04-23,0.4689
-57.047348,-11.364493,2002-05-09,0.4615
-57.047348,-11.364493,2002-05-25,0.4948
-57.047348,-11.364493,2002-06-10,0.3554
-57.047348,-11.364493,2002-06-26,0.34
-57.047348,-11.364493,2002-07-12,0.3434
-57.047348,-11.364493,2002-07-28,0.3912
-57.047348,-11.364493,2002-08-13,0.3899
-57.047348,-11.364493,2002-08-29,0.2805
-57.047348,-11.364493,2002-09-14,0.4018
-57.047348,-11.364493,2002-09-30,0.3718
-57.047348,-11.364493,2002-10-16,0.4749
-57.047348,-11.364493,2002-11-01,0.8226
-57.047348,-11.364493,2002-11-17,0.4736
-57.047348,-11.364493,2002-12-03,0.5212
-57.047348,-11.364493,2002-12-19,0.4937
-57.047348,-11.364493,2003-01-01,0.5177
-57.047348,-11.364493,2003-01-17,0.5493
-57.047348,-11.364493,2003-02-02,0.549
-57.047348,-11.364493,2003-02-18,0.6845
-57.047348,-11.364493,2003-03-06,0.6272
-57.047348,-11.364493,2003-03-22,0.5467
-57.047348,-11.364493,2003-04-07,0.5721
-57.047348,-11.364493,2003-04-23,0.5504
-57.047348,-11.364493,2003-05-09,0.4574
-57.047348,-11.364493,2003-05-25,0.4141
-57.047348,-11.364493,2003-06-10,0.3822
-57.047348,-11.364493,2003-06-26,0.3402
-57.047348,-11.364493,2003-07-12,0.374
-57.047348,-11.364493,2003-07-28,0.3279
-57.047348,-11.364493,2003-08-13,0.2737
-57.047348,-11.364493,2003-08-29,0.3543
-57.047348,-11.364493,2003-09-14,0.437
-57.047348,-11.364493,2003-09-30,0.5202
-57.047348,-11.364493,2003-10-16,0.5179
-57.047348,-11.364493,2003-11-01,0.4782
-57.047348,-11.364493,2003-11-17,0.5105
-57.047348,-11.364493,2003-12-03,0.5017
-57.047348,-11.364493,2003-12-19,0.4929
-57.047348,-11.364493,2004-01-01,0.4929
-57.047348,-11.364493,2004-01-17,0.4158
-57.047348,-11.364493,2004-02-02,0.4387
-57.047348,-11.364493,2004-02-18,0.476
-57.047348,-11.364493,2004-03-05,0.4738
-57.047348,-11.364493,2004-03-21,0.5051
-57.047348,-11.364493,2004-04-06,0.479
-57.047348,-11.364493,2004-04-22,0.4251
-57.047348,-11.364493,2004-05-08,0.4781
-57.047348,-11.364493,2004-05-24,0.389
-57.047348,-11.364493,2004-06-09,0.4045
-57.047348,-11.364493,2004-06-25,0.3125
-57.047348,-11.364493,2004-07-11,0.3235
-57.047348,-11.364493,2004-07-27,-0.3
-57.047348,-11.364493,2004-08-12,0.3648
-57.047348,-11.364493,2004-08-28,0.2428
-57.047348,-11.364493,2004-09-13,0.3717
-57.047348,-11.364493,2004-09-29,0.4343
-57.047348,-11.364493,2004-10-15,0.4108
-57.047348,-11.364493,2004-10-31,0.4391
-57.047348,-11.364493,2004-11-16,0.3677
-57.047348,-11.364493,2004-12-02,0.5064
-57.047348,-11.364493,2004-12-18,0.515
-57.047348,-11.364493,2005-01-01,0.4381
-57.047348,-11.364493,2005-01-17,0.6501
